Compound,MW,LogP,HBD,HBA,Aromatic_Ring_Number,TPSA,RotB,QED,Formal_Charge,SA_score,PAINS,BRENK,NIH,Solubility_AqSolDB,hERG,Caco2_Wang,BBB_Martins,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,PAMPA_NCATS,PPBR_AZ,Structural_flag,ADMET_flag
COc1ccc(NC(=O)C2=CCS(=O)(=O)C2)cc1OC1CCCC1,351.42,2.31,1,5,1,81.7,5,0.88,0,2.68,False,False,False,-4.38,0.45,-4.59,0.77,41.14,30.69,0.86,93.93,False,True
CC(C)Cc1ccc(-c2ccc3ccc4ccccc4c3c2)cc1,310.44,6.86,0,0,4,0.0,3,0.36,0,1.75,False,True,False,-7.59,0.64,-5.02,0.88,114.11,124.61,0.87,105.77,True,True
COC(COCCNC(=O)CNC(=O)CCC1CCCC1)OC,330.43,0.82,2,5,0,85.89,12,0.41,0,2.42,False,True,True,-1.82,0.22,-4.67,0.94,79.84,45.75,0.95,46.82,True,True
Fc1ccc2nc(Sc3ccc4ccccc4n3)ccc2c1,306.37,5.07,0,3,4,25.78,2,0.52,0,2.16,False,False,False,-5.3,0.34,-4.62,0.91,120.94,88.82,0.97,98.87,True,True
O=C(CSCCc1nnn[nH]1)NOCCCCCC1CC1,313.43,1.49,2,6,1,92.79,12,0.45,0,3.04,False,True,False,-3.36,0.21,-5.52,0.94,42.01,30.15,0.91,76.92,True,True
O=S(=O)(NCc1ccc(Cl)cc1)NC(c1ccc(Cl)cc1)c1ccc(C(F)(F)F)cc1,489.35,5.73,2,2,3,58.2,7,0.45,0,2.73,False,False,False,-5.25,0.94,-5.31,0.77,57.41,73.75,0.89,100.6,True,True
O=C(NNC(=O)C1CN(S(=O)(=O)F)C1)C1CCCCC1,307.35,-0.14,2,4,0,95.58,3,0.56,0,2.55,False,True,True,-2.09,0.05,-5.12,0.91,-13.35,22.48,0.67,54.87,True,False
O=C(NNc1ccc(Cl)cc1Cl)OCc1ccncc1,312.16,3.64,2,4,2,63.25,4,0.85,0,2.11,False,True,False,-3.35,0.69,-4.74,0.75,64.52,39.45,0.93,86.66,True,True
CCS(=O)(=O)CNC(=O)NCCC(=O)OC1CCCCC1,320.41,0.94,2,5,0,101.57,7,0.68,0,2.53,False,False,False,-1.87,0.33,-4.95,0.87,45.29,37.29,0.8,62.38,False,True
Cc1csc(CNc2nc(I)co2)c1,320.16,3.26,1,4,2,38.06,3,0.88,0,3.38,False,True,False,-5.03,0.57,-4.73,0.95,111.01,89.94,0.97,98.84,True,True
CC(NC(=O)C=CI)c1ccns1,308.14,2.27,1,3,1,41.99,3,0.69,0,3.96,False,True,True,-1.81,0.13,-4.56,0.77,42.34,14.81,0.88,57.14,True,True
O=C(NCCN1CCNS1(=O)=O)N1CCC(C(F)F)C1,312.34,-0.57,2,3,0,81.75,4,0.73,0,3.76,False,False,False,-1.1,0.17,-4.91,0.96,21.05,11.77,0.9,30.53,True,True
CNC(=O)COc1ccc(OCC#CC2CCCCC2)cc1,301.39,2.77,1,3,1,47.56,5,0.85,0,2.36,False,True,False,-4.76,0.51,-4.46,0.92,63.63,44.73,0.95,98.39,True,True
O=C(NCc1ccc(I)c(Br)c1)c1ccc2nsnc2c1,474.12,3.99,1,4,3,54.88,3,0.58,0,2.39,False,True,False,-5.4,0.48,-4.89,0.87,84.02,65.54,0.96,99.05,True,True
COCc1ccc(CSCc2cc(C#N)ccc2OC)cc1,313.42,4.15,0,4,2,42.25,7,0.77,0,2.08,False,False,False,-4.13,0.67,-4.52,0.75,136.35,102.39,0.91,86.51,False,True
O=S(=O)(F)CCCS(=O)(=O)Nc1cnc(C2CCCC2)nc1,351.43,1.57,1,6,1,106.09,7,0.75,0,2.85,False,False,True,-3.64,0.06,-5.27,0.74,7.92,19.38,0.53,74.91,True,False
O=[N+]([O-])c1ccc(-c2ccc(CNCc3ccc(-c4ccccc4)s3)s2)cc1,406.53,6.34,1,5,4,55.17,7,0.29,0,2.25,False,True,False,-6.22,0.92,-4.99,0.93,121.23,120.03,0.92,106.08,True,True
O=C(NCC1CCS(=O)(=O)C1)NNC(=O)NC1CCCCC1,332.43,0.27,4,4,0,116.4,3,0.55,0,2.95,False,True,False,-2.38,0.06,-5.28,0.74,15.57,12.05,0.44,55.44,True,True
CC(OC(=O)Cc1ccc([Si](C)(C)C)cc1)c1ccoc1,302.45,3.67,0,3,2,39.44,5,0.62,0,3.1,False,True,False,-5.49,0.63,-4.65,0.79,138.36,127.08,0.96,99.55,True,True
CS(=O)(=O)CCNN=Cc1ccc(N2CCCCC2)s1,315.46,1.71,1,6,1,61.77,6,0.49,0,2.86,False,True,False,-4.01,0.73,-4.58,0.95,77.43,58.82,0.96,83.03,True,True
O=C(Cc1ccsc1)Cn1cccc(Br)c1=O,312.19,2.48,0,3,2,39.07,4,0.87,0,2.55,False,False,False,-2.41,0.28,-4.39,0.93,73.01,37.9,0.93,66.31,False,True
C=CC1(NC(=O)CSc2nnc(NC3CCCCC3)s2)COC1,354.5,2.45,2,7,1,76.14,7,0.58,0,3.05,False,True,False,-3.74,0.27,-4.89,0.78,83.27,77.99,0.88,92.18,True,True
COCCOCCOCCOC(=O)c1c[nH]nc1C1CCCCC1,340.42,2.29,1,6,1,82.67,11,0.49,0,2.76,False,True,False,-2.73,0.61,-4.47,0.96,132.74,98.86,0.99,75.88,True,True
CC(C)(C)C(NC(=O)NOc1ccccc1F)c1ncccn1,318.35,3.0,2,4,2,76.14,4,0.85,0,3.22,False,True,False,-3.32,0.29,-4.76,0.77,53.22,41.94,0.93,77.7,True,True
CS(=O)(=O)NCCCSCc1nncn1-c1ccccc1,326.45,1.44,1,5,2,76.88,8,0.74,0,2.51,False,True,False,-1.95,0.24,-5.15,0.94,45.1,22.83,0.9,48.46,True,True
O=S1(=O)CCC(CSc2nc(Cc3ccccc3)no2)CC1,338.45,2.58,0,6,2,73.06,5,0.78,0,2.65,False,False,False,-3.63,0.21,-4.51,0.95,58.85,27.63,0.96,90.4,False,True
CCOC(=O)CN(Cc1csc2ccccc12)Cc1csc2ccccc12,395.55,5.68,0,5,4,29.54,7,0.38,0,2.41,False,False,False,-5.87,0.9,-5.0,0.97,155.17,156.43,0.93,104.82,True,True
O=C(CCNS(=O)(=O)c1ccc2ccccc2c1)NNc1ccccc1I,495.34,3.26,3,4,3,87.3,7,0.35,0,2.22,False,True,False,-4.96,0.69,-5.08,0.89,53.53,47.32,0.89,101.78,True,True
O=C(NCC1=NOC2CCCCC12)NOC1CCC(O)C1O,313.35,0.05,4,6,0,112.41,4,0.55,0,4.54,False,True,False,-1.65,0.11,-5.21,0.79,20.17,3.97,0.53,42.0,True,True
O=C(NCc1cnc(Cl)nc1)C1CNCCS1(=O)=O,304.76,-0.87,2,6,1,101.05,3,0.7,0,3.7,False,False,False,-0.68,0.01,-5.46,0.84,0.7,-17.33,0.33,29.9,True,True
CSCCONC(=O)Cc1ccc(C2CCCCC2)cc1,307.46,3.69,1,3,1,38.33,7,0.62,0,2.34,False,True,False,-5.05,0.52,-4.58,0.95,90.66,74.86,0.97,98.59,True,True
O=C(COc1cncc(Cl)n1)NCC#Cc1cccc(F)c1,319.72,1.82,1,4,2,64.11,4,0.87,0,2.6,False,True,False,-4.93,0.44,-4.53,0.92,78.22,62.67,0.98,98.01,True,True
O=C(Nc1cnc(Br)nc1)Nc1cc(Br)cs1,378.05,3.71,2,4,2,66.91,2,0.78,0,2.94,False,False,False,-4.73,0.27,-4.77,0.69,47.85,27.97,0.95,94.66,False,True
O=C(C=CC(=O)N1CCSSCC1)NCC1CCC(O)CC1,344.5,1.43,2,5,0,69.64,4,0.6,0,2.96,False,True,False,-2.6,0.23,-4.99,0.82,34.99,30.27,0.79,49.5,True,True
Brc1cc2sc(Nn3cnnc3)nc2s1,302.18,2.59,1,6,3,55.63,2,0.79,0,3.53,False,False,False,-4.45,0.33,-4.68,0.46,48.33,24.12,0.96,95.65,False,True
CC(C(=O)NCc1noc(-c2ccccc2)n1)N1CSCCSC1,364.5,2.44,1,7,2,71.26,5,0.87,0,3.25,False,False,False,-3.98,0.46,-5.0,0.96,67.74,56.17,0.96,87.14,False,True
Cc1ncnc(C)c1C(=O)Nc1cc(I)cc(I)c1,479.06,3.55,1,3,2,54.88,2,0.67,0,2.58,False,True,False,-4.88,0.31,-4.74,0.91,33.9,16.65,0.96,91.11,True,True
C(=C1CCOCC1)c1ccc2oc(Cc3ccccc3)cc2c1,304.39,5.22,0,2,3,22.37,3,0.66,0,2.51,False,False,False,-5.87,0.54,-4.65,0.96,85.04,70.4,0.94,101.47,True,True
COc1cc(Br)ccc1NN=Cc1cnc(C)s1,326.22,3.67,1,5,2,46.51,4,0.69,0,2.54,False,True,False,-4.19,0.62,-4.65,0.93,87.76,61.37,0.99,91.71,True,True
NC(=NOCCc1ccc(Cl)nc1)c1ncc(Br)cn1,356.61,2.17,1,5,2,86.28,5,0.29,0,2.89,False,True,False,-3.47,0.38,-4.86,0.93,52.71,33.85,0.96,86.45,True,True
COC(=O)C1(C(=O)NCCC(=O)N2CCCCC2C)CCOC1,326.39,0.47,1,5,0,84.94,5,0.59,0,3.36,False,True,False,-1.61,0.22,-4.53,0.97,60.32,43.51,0.96,48.66,True,True
Cc1ccc(OCCSc2cc(Cl)ccc2Cl)c(Cl)n1,348.68,5.52,0,3,2,22.12,5,0.4,0,2.29,False,True,False,-5.59,0.43,-4.58,0.95,110.12,91.45,0.96,95.97,True,True
O=C(Oc1ccc2ccccc2c1)N1CCNS(=O)(=O)CC1,320.37,1.57,1,4,2,75.71,1,0.87,0,2.52,False,False,False,-2.45,0.14,-4.78,0.94,41.7,17.25,0.92,79.39,False,True
O=c1ccc(NCC2(C(F)F)CCC2)cn1-c1ccccc1,304.34,3.68,1,2,2,34.03,5,0.91,0,2.75,False,False,False,-4.68,0.81,-4.62,0.96,61.19,42.95,0.96,90.56,False,True
O=C(NCC(F)(F)C1CC1)C(=O)NC(CF)c1ccccc1,314.31,1.97,2,2,1,58.2,6,0.79,0,3.15,False,True,True,-3.45,0.13,-4.72,0.92,9.32,26.32,0.95,74.01,True,False
CC(NC(=O)Cc1ccc(Br)cn1)c1csnn1,327.21,2.12,1,5,2,67.77,4,0.93,0,3.19,False,False,False,-1.87,0.07,-4.89,0.92,30.58,3.63,0.96,64.55,False,True
Cc1ccsc1C=C(Cl)c1nc2cc(F)c(F)cc2[nH]1,310.76,4.95,1,2,3,28.68,2,0.71,0,2.84,False,False,False,-5.82,0.46,-4.58,0.84,102.09,92.91,0.96,98.15,False,True
COc1ccc(C(=O)OCc2ccc(F)cc2Br)o1,329.12,3.55,0,4,2,48.67,4,0.81,0,2.35,False,False,False,-4.63,0.34,-4.35,0.98,142.16,113.46,0.99,95.06,False,True
O=S(=O)(NCc1ncc(-c2ccccc2)cn1)C1(CCl)CC1,337.83,2.33,1,4,2,71.95,6,0.82,0,2.78,False,True,True,-3.82,0.29,-4.9,0.96,74.08,61.21,0.96,86.65,True,True
O=C(Nc1csnc1-c1ccccc1)NC1CCC=CCC1,313.43,4.43,2,3,2,54.02,3,0.82,0,2.66,False,True,False,-4.51,0.59,-4.8,0.9,74.07,54.66,0.96,96.98,True,True
CCS(=O)(=O)C=CC(=O)N1CCSC(c2ccccc2)C1,325.46,2.25,0,4,1,54.45,4,0.8,0,3.3,False,True,False,-2.12,0.27,-4.63,0.88,35.98,23.71,0.85,59.51,True,True
CC(NC(=O)NCc1cc(Cl)nnc1Cl)c1ccnc(F)c1,344.18,2.88,2,4,2,79.8,4,0.84,0,3.14,False,True,False,-1.79,0.1,-5.15,0.8,11.12,5.01,0.82,61.03,True,False
COC(=O)Nc1ccc(CSCCC2CCCC2(F)F)cc1,329.41,4.92,1,3,1,38.33,6,0.75,0,3.06,False,True,False,-4.51,0.65,-4.55,0.94,86.02,57.52,0.95,92.83,True,True
COc1cc(NC(=S)NCC2SCCS2)ccn1,301.46,2.18,2,5,1,46.18,4,0.83,0,2.99,False,True,False,-3.7,0.29,-4.88,0.88,58.12,54.77,0.97,74.16,True,True
Cc1cccc(CSc2ccnc(CSc3ccccc3)n2)c1C,352.53,5.68,0,4,3,25.78,6,0.42,0,2.35,False,False,False,-5.51,0.77,-4.91,0.94,125.44,105.52,0.96,101.02,True,True
Brc1cccc(-n2ncc(CSCCC3=CCCCC3)n2)c1,378.34,5.15,0,3,2,30.71,6,0.51,0,2.83,False,True,False,-6.11,0.79,-4.89,0.99,116.25,107.62,0.98,103.56,True,True
O=C(O)c1ccc(C=NNc2ccc3ccccc3c2)c2ccccc12,340.38,5.14,2,3,4,61.69,4,0.4,0,2.07,False,True,False,-5.63,0.48,-4.98,0.34,42.05,21.59,0.73,103.92,True,True
C=CCCCS(=O)(=O)Nc1cccc(Oc2ccccc2)n1,318.4,3.58,1,4,2,68.29,8,0.6,0,2.34,False,True,False,-4.67,0.55,-4.44,0.91,83.68,48.59,0.94,100.72,True,True
Cc1ccc(C(O)c2cncc(C=Cc3ccccn3)c2)cc1,302.38,4.04,1,3,3,46.01,4,0.79,0,2.76,False,False,False,-3.75,0.49,-4.98,0.52,92.18,62.03,0.82,92.22,False,True
O=C(NS(=O)(=O)C(F)F)C(Cc1cccnc1)C1CCCC1,332.37,2.1,1,4,1,76.13,6,0.87,0,3.18,False,False,False,-2.39,0.35,-4.93,0.82,1.8,0.11,0.86,75.06,False,False
O=C(C1SCCS1)n1ccccc1=NC1CCCCC1,308.47,3.17,0,4,1,34.36,2,0.84,0,3.24,False,False,False,-4.32,0.65,-4.82,0.96,91.89,75.07,0.98,88.53,False,True
O=S1(=O)CCC(OCCSCc2cn3cc(Cl)ccc3n2)CC1,374.92,2.81,0,5,2,60.67,6,0.73,0,2.9,False,True,False,-3.08,0.36,-4.71,0.93,59.79,25.04,0.95,79.17,True,True
COC(=O)c1sncc1CSCc1cc(Br)cc(Br)c1,437.18,4.89,0,5,2,39.19,5,0.63,0,2.95,False,False,False,-5.34,0.42,-4.72,0.89,128.74,107.8,0.95,98.31,False,True
O=C(NCc1ccccc1COC1CCCCC1)NCC1SCCS1,380.58,4.14,2,4,1,50.36,7,0.75,0,2.71,False,False,False,-4.82,0.86,-4.99,0.97,89.58,90.95,0.97,98.01,False,True
O=P1(c2ccccc2)CCN(C2CCS(=O)(=O)C2)CC1,313.36,1.18,0,4,1,54.45,2,0.77,0,3.64,False,True,False,-1.11,0.1,-4.94,0.94,24.56,-6.02,0.78,28.44,True,True
CCCc1ccc(CSCc2nc(C(C)(C)C)co2)cc1,303.47,5.36,0,3,2,26.03,6,0.72,0,2.51,False,False,False,-5.84,0.57,-4.82,0.79,172.3,154.95,0.96,102.84,True,True
Cn1cnn(CC(=O)OCc2ccc(Cl)c(Cl)c2)c1=O,316.14,1.63,0,4,2,66.12,4,0.8,0,2.44,False,False,False,-3.19,0.31,-4.27,0.95,84.03,42.55,0.98,84.75,False,True
O=C(NCc1cnsn1)Nc1ncc(C2CCCCC2)cn1,318.41,2.7,2,6,2,92.69,4,0.9,0,2.83,False,False,False,-4.23,0.35,-5.13,0.85,67.64,57.87,0.96,94.12,False,True
O=C(NCC#CC1CC1)NCc1nnc(-c2ccccc2)s1,312.4,2.42,2,4,2,66.91,4,0.85,0,2.63,False,True,False,-3.71,0.49,-4.87,0.89,56.35,36.05,0.94,94.22,True,True
CN(Cc1ncnn1C)C(=S)Nc1ccc(Cl)c(F)c1,313.79,2.44,1,3,2,45.98,3,0.88,0,2.5,False,True,False,-3.25,0.45,-4.66,0.93,57.68,38.05,0.97,76.93,True,True
OCC(Cc1ccccc1)C(Nc1ncc(F)cn1)c1ccccc1,337.4,3.62,2,4,3,58.04,7,0.69,0,3.07,False,False,False,-4.53,0.65,-4.99,0.71,77.4,60.04,0.78,99.03,False,True
CS(C)(=O)=NC(=O)NC(=O)CSc1nnnn1C1CCCCC1,360.47,1.23,1,7,1,119.2,4,0.8,0,2.94,False,False,False,-3.38,0.09,-5.06,0.88,42.92,46.31,0.95,87.39,False,True
O=C(OCCC1CS(=O)(=O)C1)c1cc(Br)[nH]c(=O)c1,350.19,0.73,1,5,1,93.3,4,0.64,0,2.95,False,True,False,-2.13,0.03,-4.63,0.77,53.9,20.71,0.61,64.07,True,True
NC(=NOCc1sccc1I)c1cncnc1,360.18,1.98,1,5,2,73.39,4,0.39,0,3.23,False,True,False,-2.99,0.54,-4.8,0.69,42.02,14.46,0.88,80.74,True,True
O=C(CNC(=O)NC1CCCCC1)NCCn1cc([N+](=O)[O-])cn1,338.37,0.54,3,5,1,131.19,7,0.49,0,2.36,False,True,False,-2.63,0.19,-5.27,0.91,31.46,28.3,0.87,58.99,True,True
CS(=O)(=O)n1cc(NC(=O)NNC(=O)CC2CCCC2)cn1,329.38,0.42,3,5,1,122.19,4,0.69,0,2.7,False,True,False,-3.3,0.04,-5.3,0.75,8.77,18.65,0.56,75.75,True,False
Cc1cnc(C(=O)CSc2cccc(I)c2)cn1,370.21,3.36,0,4,2,42.85,4,0.47,0,2.48,False,True,True,-4.43,0.3,-4.59,0.98,89.9,62.11,0.99,94.18,True,True
N#Cc1cccc(CNC2CCN(Cc3cccc(C(F)(F)F)c3)CC2)c1,373.42,4.33,1,3,2,39.06,5,0.85,0,2.14,False,False,False,-3.55,0.97,-4.96,0.96,20.3,8.42,0.88,84.07,False,True
O=S1(=O)CCC(NN=Cc2ccc(Oc3ccccc3)o2)CC1,334.4,2.57,1,6,2,80.9,5,0.67,0,2.79,False,True,False,-3.82,0.5,-4.51,0.93,49.22,10.69,0.93,89.07,True,True
CCS(=O)(=O)C1(CNc2ncnc(N3CCCCC3)n2)CC1,325.44,1.24,1,7,1,88.08,6,0.84,0,2.97,False,False,False,-3.69,0.62,-4.79,0.92,64.12,65.34,0.93,70.47,False,True
CC(C)(C(=O)NC1CC(S(C)(=O)=O)C1)c1cncs1,302.42,1.11,1,5,1,76.13,4,0.9,0,3.29,False,False,False,-1.19,0.11,-4.73,0.76,14.09,1.25,0.86,32.66,False,False
O=S(=O)(CF)Nc1cc(-c2ccccc2)cc(C(F)(F)F)c1,333.31,4.04,1,2,2,46.17,4,0.86,0,2.22,False,False,False,-4.91,0.52,-4.73,0.93,24.23,27.12,0.96,100.04,False,True
O=C(NCCc1cnc(SC2CCCC2)nc1)NCCC1SCCS1,398.62,3.55,2,6,1,66.91,8,0.65,0,3.05,False,False,False,-3.69,0.5,-5.05,0.9,70.36,59.49,0.97,82.11,False,True
CSc1cc(F)ccc1NC(=O)Nc1ccc(C)c(C)c1,304.39,4.81,2,2,2,41.13,3,0.8,0,1.94,False,False,False,-5.81,0.65,-4.77,0.88,114.76,102.83,0.96,99.86,False,True
O=C(Cc1ncc(Cl)cn1)Nc1cc(Cl)cc(Br)c1,361.03,3.73,1,3,2,54.88,3,0.91,0,2.34,False,False,False,-4.29,0.23,-4.66,0.93,54.17,26.38,0.97,91.39,False,True
CC(C=NNC(=O)c1csc(Cl)n1)c1cc(F)cc(F)c1,329.76,3.59,1,4,2,54.35,4,0.69,0,3.33,False,True,False,-4.72,0.32,-4.37,0.88,55.76,38.95,0.98,91.45,True,True
COC1(C(=O)NN=C(CCC(C)(C)C)c2cscn2)CCOCC1,353.49,2.99,1,6,1,72.81,6,0.63,0,3.45,False,True,False,-3.89,0.49,-4.63,0.93,100.7,95.96,0.99,83.81,True,True
CCCCN(OCc1ccccc1)C(=O)N1CC(S(=O)(=O)F)C1,344.41,2.32,0,4,1,66.92,7,0.56,0,2.88,False,True,True,-2.85,0.27,-4.67,0.97,50.25,63.18,0.97,72.97,True,True
N#Cc1cc(Cn2cnc3nccnc32)ccc1Br,314.15,2.51,0,4,3,67.39,2,0.73,0,2.69,False,False,False,-2.71,0.18,-4.72,0.85,71.97,41.32,0.97,69.03,False,True
Cc1nonc1C(=O)CN1CCC(c2ccccc2)(c2ccccc2)CC1,361.45,3.64,0,5,3,59.23,5,0.65,0,2.53,False,False,False,-4.73,0.86,-4.76,0.99,61.28,57.05,0.98,98.41,False,True
Cc1cc(CC(=O)OCc2c(I)cnn2C)c(C)[nH]1,373.19,2.26,1,3,2,59.91,4,0.66,0,3.04,False,True,False,-3.64,0.48,-4.73,0.98,60.87,48.42,0.99,88.03,True,True
CCOP(=O)(OCC)C1(NC(=O)NCC(=O)OC2CCCCC2)CC1,376.39,2.92,2,6,0,102.96,9,0.47,0,3.06,False,True,False,-1.19,0.43,-4.91,0.92,39.57,41.18,0.95,53.29,True,True
CC1=CC(C(=O)NCCC(=O)C2CCCCC2)=NS(=O)(=O)N1,327.41,0.83,2,4,0,104.7,5,0.78,0,3.18,False,False,False,-2.99,0.04,-5.27,0.78,8.06,21.59,0.78,78.21,False,False
Brc1cnc(CNc2ncc3c(Br)cccc3n2)nc1,395.06,3.56,1,5,3,63.59,3,0.74,0,2.54,False,False,False,-4.07,0.61,-4.95,0.93,79.82,56.8,0.98,94.02,False,True
FC(F)(F)c1ccnc(CON=Cc2ccc(Cl)c(Cl)c2)n1,350.13,4.35,0,4,2,47.37,4,0.61,0,2.61,False,True,False,-3.93,0.55,-4.64,0.96,39.39,22.96,0.99,89.31,True,True
Cc1c[nH]c(=O)c(CNC(=S)Nc2cccc(Cl)n2)c1,308.79,2.22,3,3,2,69.81,3,0.6,0,2.6,False,True,False,-3.5,0.39,-4.9,0.73,46.03,29.15,0.92,81.12,True,True
O=C(NCC1CC1C1CCC1)c1nnc(Oc2cccc(Cl)c2)s1,363.87,4.15,1,5,2,64.11,6,0.84,0,3.41,False,False,False,-6.06,0.61,-4.75,0.95,86.97,77.57,0.97,103.47,False,True
Cc1cc(CC(O)CSC(C)c2cccs2)ccc1F,310.46,4.59,1,3,2,20.23,6,0.84,0,3.28,False,False,False,-3.96,0.76,-4.58,0.93,126.76,89.23,0.93,91.59,False,True
Cc1cnnc(NC(=O)NC(C)(C)COc2ccccc2)c1,300.36,2.76,2,4,2,76.14,5,0.89,0,2.43,False,False,False,-4.02,0.3,-4.73,0.91,83.47,58.87,0.98,92.15,False,True
CC(C)(C)[Si](C)(C)Oc1ccc(NC(=O)NN2CCOC(CO)C2)cc1,381.55,2.8,3,5,1,83.06,5,0.68,0,3.14,False,True,True,-4.91,0.58,-4.9,0.42,55.25,62.91,0.72,95.38,True,True
CN(C)S(=O)(=NC(=O)c1cnc(OC2CCCC2)nc1)N(C)C,341.44,1.36,0,5,1,87.99,5,0.81,0,3.21,False,False,False,-2.83,0.2,-5.05,0.71,34.73,33.58,0.78,76.44,False,True
CCOC(=O)C=CCNC(=O)NCc1cc(COc2ccccc2)co1,358.39,2.78,2,5,2,89.8,9,0.53,0,2.48,False,True,False,-4.03,0.65,-4.68,0.91,114.15,94.38,0.96,94.92,True,True
CC(Cc1cnco1)Nc1ncnc(F)c1Br,301.12,2.41,1,5,2,63.84,4,0.88,0,3.68,False,False,False,-3.09,0.16,-4.69,0.84,49.7,36.23,0.94,72.11,False,True
Cc1ccsc1NC(=O)Oc1cc(C#N)ccc1I,384.2,4.14,1,4,2,62.12,2,0.79,0,2.7,False,True,False,-5.58,0.19,-4.51,0.62,90.54,75.78,0.95,97.04,True,True
C#CCCCCCNC(=O)CSc1nccn1-c1ccc(Br)cc1,406.35,4.04,1,3,2,46.92,9,0.39,0,2.39,False,True,False,-4.69,0.82,-4.69,0.9,106.8,83.35,0.93,97.29,True,True
Nc1cc(Br)ccc1-c1cc(-c2ccccc2)[nH]n1,314.19,4.09,2,2,3,54.7,2,0.7,0,2.14,False,True,False,-4.84,0.7,-4.81,0.76,62.61,42.07,0.9,96.74,True,True
O=C(NC(c1nnn[nH]1)C1CCCCC1)C1SCCS1,313.45,1.74,2,6,1,83.56,4,0.88,0,3.83,False,False,False,-3.53,0.22,-5.68,0.85,29.92,30.98,0.89,81.04,False,True
CS(=O)(=O)CNC(=O)Nc1nc(C2CCCCC2)ns1,318.42,1.71,2,6,1,101.05,4,0.88,0,2.77,False,False,False,-3.07,0.41,-5.05,0.87,12.3,18.88,0.92,85.03,False,False
CCCc1ccc(C=CC(=O)c2nc(Br)cs2)s1,342.28,4.82,0,4,2,29.96,5,0.58,0,2.94,False,True,True,-5.8,0.23,-4.68,0.73,122.4,111.25,0.96,101.73,True,True
COc1cccc(OC)c1CNCC(C)(C)c1c(Cl)cccc1Cl,368.3,5.08,1,3,2,30.49,7,0.74,0,2.37,False,False,False,-5.61,0.97,-4.66,0.92,97.52,92.46,0.9,98.82,True,True
CC(CN(C)c1ccccc1)NC(=O)C(N)Cn1ccnn1,302.38,0.25,2,5,2,89.07,7,0.76,0,3.33,False,False,False,-2.07,0.68,-5.33,0.77,37.05,31.88,0.75,53.09,False,True
Cn1cnnc1NNC(=O)C(C)(C)Oc1cc(F)cc(F)c1,311.29,1.39,2,5,2,81.07,5,0.82,0,2.89,False,True,False,-2.88,0.14,-4.63,0.69,20.86,8.45,0.74,75.41,True,True
Cc1ccc(SCC(O)c2ccc(Br)cc2C)nc1,338.27,4.29,1,3,2,33.12,4,0.84,0,2.8,False,False,False,-4.31,0.47,-4.71,0.9,108.61,81.27,0.97,94.23,False,True
N#Cc1ccc(OS(=O)(=O)C2CCS(=O)(=O)CC2)c2ccccc12,365.43,2.0,0,6,2,101.3,3,0.77,0,2.76,False,True,False,-4.23,0.23,-4.53,0.75,48.34,31.23,0.78,89.26,True,True
CC(C)n1ccnc1CSCCNc1ccc(C(C)(C)C)cc1,331.53,5.11,1,3,2,29.85,7,0.72,0,2.46,False,True,False,-4.46,0.92,-4.93,0.82,107.78,106.57,0.97,92.76,True,True
CCS(=O)(=O)N1CCC(NC(=O)C(=O)NCCCCCC2CC2)CC1,373.52,1.0,2,4,0,95.58,9,0.47,0,2.35,False,True,True,-3.11,0.26,-4.84,0.95,46.45,51.21,0.93,64.34,True,True
CC(C)CSc1nn(C)cc1NC(=O)CN(C)c1ccncc1,333.46,2.64,1,5,2,63.05,7,0.79,0,2.8,False,False,False,-3.57,0.68,-4.84,0.72,94.57,79.61,0.92,84.46,False,True
Cc1ccc(-n2nc(NCC#Cc3cccc(C)c3)cc2C)cc1,315.42,4.26,1,2,3,29.85,3,0.73,0,2.42,False,True,False,-5.87,0.82,-5.01,0.86,106.52,103.38,0.93,102.41,True,True
O=S1(=O)CCC(CN(CCOc2cccnc2)CC2CC23CCC3)CC1,378.54,2.78,0,5,1,59.5,8,0.7,0,3.77,False,False,False,-2.44,0.94,-4.91,0.94,41.54,25.71,0.87,50.24,False,True
CS(=O)(=O)Cc1nc(C[S+]([O-])c2ccc(F)cc2F)cs1,351.42,2.27,0,5,2,70.09,5,0.78,0,3.9,False,True,False,-1.51,0.3,-4.61,0.85,38.0,16.81,0.94,56.21,True,True
CS(=O)(=O)CCNC(=S)NCCC(=O)N1CCCCCC1,335.5,0.29,2,4,0,78.51,6,0.68,0,2.23,False,True,False,-1.56,0.33,-4.91,0.92,38.87,31.25,0.89,29.45,True,True
O=C(C=Cc1cccc(C(F)(F)F)c1)NS(=O)(=O)CCOCc1ccccc1,413.42,3.38,1,4,2,72.47,8,0.53,0,2.33,False,True,False,-4.47,0.37,-4.78,0.76,34.3,24.55,0.86,101.58,True,True
CCCCCOc1ccc(OC(=O)COCc2nnc(C)s2)cc1,350.44,3.54,0,7,2,70.54,10,0.37,0,2.27,False,True,False,-3.88,0.18,-4.76,0.94,101.14,79.01,0.98,97.07,True,True
COc1cc(NN=C(CCCc2ccccc2)c2ccccc2)ncn1,346.43,4.32,1,5,3,59.4,8,0.49,0,2.26,False,True,False,-5.41,0.9,-5.0,0.87,114.03,99.12,0.96,102.83,True,True
